Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           IRXBCOMP [84]
                0.00    0.00       1/1           IRXPARCL [101]
                0.00    0.00       1/31706132     irxstor [24]
                0.00    0.00       1/1250209     IRXLSINI [103]
                0.00    0.00       1/2           IRXCTLCL [199]
-----------------------------------------------
                                                 <spontaneous>
[2]     97.2    0.00    1.95                 main [2]
                0.00    1.95       1/1           irx_exec_run [1]
                0.00    0.00       1/1           read_file [215]
                0.00    0.00       1/1           wall_seconds [217]
-----------------------------------------------
                0.34    1.58       1/1           irx_exec_run [1]
[3]     96.0    0.34    1.58       1         IRXBEXEC [3]
                0.05    0.32 4940815/4940815     IRXARICM [4]
                0.07    0.24 12522138/12522138     VPOOLGTB [5]
                0.01    0.28 1250205/1250205     IRXARIOP [6]
                0.04    0.17 1540403/1540403     IRXBIFFN [9]
                0.01    0.08 3220004/3220004     pframe_assign [15]
                0.08    0.00 27593865/30393868     get_entry [17]
                0.01    0.05 2710619/5510622     VPOOLSTB [13]
                0.02    0.02 12361046/20013074     slot_set_buf [21]
                0.01    0.02 7511828/7511828     slot_set_bool [30]
                0.02    0.00 30533805/30533805     read_u16 [36]
                0.02    0.00 7931828/7931828     slot_to_bool [37]
                0.00    0.02 5320261/8120593     Lfree [34]
                0.01    0.00  280000/280000      IRXPARBA [45]
                0.00    0.01  420000/420000      bif_substr [46]
                0.01    0.00       1/1           cond_bit_index [50]
                0.01    0.00  280000/280000      lstr_copy [52]
                0.01    0.00 5240407/5240407     read_i16 [53]
                0.00    0.00 1260002/19572926     Lstrcpy [25]
                0.00    0.00  140000/140000      VPOOLDRB [56]
                0.00    0.00 1400013/1400013     Lstrcat [60]
                0.00    0.00  560012/560012      Lcat [61]
                0.00    0.00 1390401/1390401     try_arith_fast [63]
                0.00    0.00  280000/280000      bif_word [66]
                0.00    0.00  280000/280000      bif_length [65]
                0.00    0.00  140000/140000      bif_address [68]
                0.00    0.00  140000/140000      bif_trace [69]
                0.00    0.00       1/1           vpool_destroy [75]
                0.00    0.00     400/400         bif_time [76]
                0.00    0.00       2/2           bif_format [83]
                0.00    0.00       1/1           bif_left [85]
                0.00    0.00      14/31706132     irxstor [24]
                0.00    0.00       1/1           vpool_create [92]
                0.00    0.00       1/1250209     IRXLSINI [103]
                0.00    0.00 1540403/1540403     bvm_get_bif_registry [111]
                0.00    0.00  140200/140200      slot_to_int32 [119]
                0.00    0.00  140100/140100      IRXPTOPT [120]
                0.00    0.00      64/64          try_parse_int_cache [159]
